Pirate Name,Pirate URL,Portrait URL,Crew Rank,Crew Job,Crew Name,Flag Role,Flag Name,Navy Rank,Navy Name,Navy Archipelago,Owns Count,Owns List,Manages Count,Manages List,Stalls Count,Stalls List,Houses Count,Houses List,Hearties Count,Hearties List,Reputation Conqueror,Reputation Explorer,Reputation Magnate,Reputation Patron,Skill Category Alchemistry,Skill Category Battle Navigation,Skill Category Bilging,Skill Category Blacksmithing,Skill Category Carpentry,Skill Category Distilling,Skill Category Drinking,Skill Category Foraging,Skill Category Gunning,Skill Category Hearts,Skill Category Navigating,Skill Category Patching,Skill Category Poker,Skill Category Rigging,Skill Category Rumble,Skill Category Sailing,Skill Category Shipwrightery,Skill Category Spades,Skill Category Swordfighting,Skill Category Treasure Drop,Skill Category Treasure Haul,Skill Category Weaving,Skill Experience Alchemistry,Skill Experience Battle Navigation,Skill Experience Bilging,Skill Experience Blacksmithing,Skill Experience Carpentry,Skill Experience Distilling,Skill Experience Drinking,Skill Experience Foraging,Skill Experience Gunning,Skill Experience Hearts,Skill Experience Navigating,Skill Experience Patching,Skill Experience Poker,Skill Experience Rigging,Skill Experience Rumble,Skill Experience Sailing,Skill Experience Shipwrightery,Skill Experience Spades,Skill Experience Swordfighting,Skill Experience Treasure Drop,Skill Experience Treasure Haul,Skill Experience Weaving,Skill Reputation Alchemistry,Skill Reputation Battle Navigation,Skill Reputation Bilging,Skill Reputation Blacksmithing,Skill Reputation Carpentry,Skill Reputation Distilling,Skill Reputation Drinking,Skill Reputation Foraging,Skill Reputation Gunning,Skill Reputation Hearts,Skill Reputation Navigating,Skill Reputation Patching,Skill Reputation Poker,Skill Reputation Rigging,Skill Reputation Rumble,Skill Reputation Sailing,Skill Reputation Shipwrightery,Skill Reputation Spades,Skill Reputation Swordfighting,Skill Reputation Treasure Drop,Skill Reputation Treasure Haul,Skill Reputation Weaving,Scrape Date,Scraped At UTC
Barrys,https://emerald.puzzlepirates.com/yoweb/pirate.wm?classic=false&target=barrys,http://emerald.puzzlepirates.com/media/emerald/portraits/d61/b2e802defa8603f4fe2f2504e75e9.jpg,Captain,Bait,Tax Evasion,Princess,Late Night Hoes,Lieutenant,Admiral Island Navy,Gull,9,Sailing Rent Free on Arakoua Island | Happy Little Masts on Bowditch Island | Happy Little Flags on Bowditch Island | Happy Little Frigs on Bowditch Island | Fat Shack on Bowditch Island | Happy Little Threads on Bowditch Island | Happy Little Market on Bowditch Island | Money in the Hull on Aimuari Island | Happy Little Real Estate on Bowditch Island,16,Ball's on Bowditch Island | Wits' End on Admiral Island | Guppy Yard on Caravanserai Island | Beat the Balls on Bowditch Island | Veclothiraptor on Arakoua Island | The Mightiest Shipyard on Caravanserai Island | Stringasaurus on Arakoua Island | Junk n Tonic on Ambush Island | Fondle My Balls on Bowditch Island | Happy Little Drugs on Bowditch Island | Abyssal Frameworks on Aimuari Island | Triceratops on Arakoua Island | Mastodons on Arakoua Island | Where the Deed at on Armstrong Island | Build Me Shelter on Caravanserai Island | The Mighty Yard on Caravanserai Island,3,Barrys's Tailoring Stall on Admiral Island | Rosieex's Tailoring Stall on Admiral Island | Anichi's Ironworking Stall on Admiral Island,12,Caddyshack on Admiral Island | Love Shack on Caravanserai Island | Cottage Cleese Shop on Bowditch Island | Love Shack on Caravanserai Island | Cabin Fever on Admiral Island | Row Me Daddy on Admiral Island | Bringing Town the House on Admiral Island | Bedside Manors on Admiral Island | Villa Las Vegas on Admiral Island | Guardians of the Gallery on Admiral Island | Guardians of the Gallery on Admiral Island | Whisking Whale Road on Arakoua Island,0,,Aspiring,Eminent,Celebrated,Aspiring,Crafting,Piracy,Piracy,Crafting,Piracy,Crafting,Carousing,Crafting,Piracy,Carousing,Piracy,Piracy,Carousing,Piracy,Piracy,Piracy,Crafting,Carousing,Piracy,Carousing,Piracy,Crafting,Broad,Solid,Weighty,Narrow,Solid,Expert,Apprentice,Solid,Solid,Novice,Expert,Solid,Broad,Paragon,Narrow,Solid,Solid,Apprentice,Solid,Neophyte,Weighty,Solid,Proficient,Ultimate,Respected,Proficient,Legendary,Distinguished,Distinguished,Master,Master,Able,Ultimate,Ultimate,Proficient,Legendary,Legendary,Ultimate,Legendary,Distinguished,Legendary,Distinguished,Ultimate,Legendary,2026-03-31,2026-03-31 17:59:19
Discrims,https://emerald.puzzlepirates.com/yoweb/pirate.wm?classic=false&target=discrims,,Senior Officer,,The Mob,Prince,Late Night Hoes,Stowaway,Wensleydale Navy,Gull,0,,0,,0,,1,Milkshack on Wensleydale,0,,Aspiring,Aspiring,Aspiring,Aspiring,Crafting,Piracy,Piracy,Crafting,Piracy,Crafting,Carousing,Crafting,Piracy,Carousing,Piracy,Piracy,Carousing,Piracy,Piracy,Piracy,Crafting,Carousing,Piracy,Carousing,Piracy,Crafting,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Able,Able,Able,Able,Able,Able,Able,Able,Able,Able,Able,Able,Able,Able,Able,Able,Able,Able,Able,Able,Able,Able,2026-03-31,2026-03-31 17:59:19
Dexedrine,https://emerald.puzzlepirates.com/yoweb/pirate.wm?classic=false&target=dexedrine,http://emerald.puzzlepirates.com/media/emerald/portraits/ed6/ba255ca9ed7f15f65d1e718de74ed.jpg,Senior Officer,Politician,The Mob,Prince,Late Night Hoes,Commander,Admiral Island Navy,Gull,0,,1,Triceratops on Arakoua Island,0,,7,Pine Boxes on Aimuari Island | Caddyshack on Admiral Island | Bedside Manors on Admiral Island | Jurassic Shack on Arakoua Island | King Kottage on Admiral Island | A State Of Love & Happiness on Aimuari Island | Guardians of the Gallery on Admiral Island,17,Blinksy | Bronzy | Capnray | Fattalex | Feniiah | Iaago | Koax | Lengthy | Ninjy | Outlander | Satisfies | Sheidheda | Stormiee | Strategyy | Todeshund | Umami | Zinke,Aspiring,Noted,Established,Aspiring,Crafting,Piracy,Piracy,Crafting,Piracy,Crafting,Carousing,Crafting,Piracy,Carousing,Piracy,Piracy,Carousing,Piracy,Piracy,Piracy,Crafting,Carousing,Piracy,Carousing,Piracy,Crafting,Apprentice,Expert,Solid,Solid,Weighty,Neophyte,Novice,Solid,Solid,Novice,Broad,Solid,Weighty,Weighty,Apprentice,Solid,Illustrious,Novice,Broad,Apprentice,Weighty,Broad,Able,Ultimate,Ultimate,Master,Ultimate,Able,Distinguished,Ultimate,Master,Able,Distinguished,Legendary,Proficient,Legendary,Grand-Master,Renowned,Ultimate,Able,Ultimate,Proficient,Ultimate,Master,2026-03-31,2026-03-31 17:59:19
Encode,https://emerald.puzzlepirates.com/yoweb/pirate.wm?classic=false&target=encode,http://emerald.puzzlepirates.com/media/emerald/portraits/8d8/b9d5166416e8777fb75ac9d360865.jpg,Captain,,Entropy,Prince,Late Night Hoes,Ensign,Admiral Island Navy,Gull,0,,0,,0,,1,Adobe Abode on Chachapoya Island,78,Abihas | Aeren | Allyx | Anichi | Aquella | Barrys | Bigtimerz | Biob | Calaveras | Chawey | Cheases | Cinamoon | Convictt | Crushiie | Cruste | Destroyy | Dexedrine | Doccos | Dzhon | Eleoss | Esket | Fedorov | Feniiah | Fileopen | Financelad | Flowerful | Furiousme | Gafgarion | Gangrena | Garpuu | Glamourr | Gravee | Graymouser | Heraw | Hollisue | Igboo | Ivey | Jackkfrost | Jezerbell | Kapetanios | Kingubi | Kittyroar | Lacharcin | Lastlegacy | Lawgirl | Licence | Loons | Ltbolt | Mattystrong | Mikuchan | Montanari | Mysticgrovee | Nightskye | Odds | Outlander | Pirateevelyn | Playas | Pszemil | Scozy | Shigby | Shuster | Skittlemiss | Slinkee | Slur | Souwestern | Spinnakerr | Sykku | Tascrunot | Tiramisue | Toraken | Totemb | Twitcher | Twodee | Uzed | Vanin | Xanorth | Yauso | Zrago,Aspiring,Aspiring,Aspiring,Aspiring,Crafting,Piracy,Piracy,Crafting,Piracy,Crafting,Carousing,Crafting,Piracy,Carousing,Piracy,Piracy,Carousing,Piracy,Piracy,Piracy,Crafting,Carousing,Piracy,Carousing,Piracy,Crafting,Neophyte,Narrow,Solid,Novice,Solid,Novice,Novice,Neophyte,Narrow,Novice,Broad,Weighty,Solid,Weighty,Novice,Broad,Narrow,Novice,Narrow,Novice,Paragon,Novice,Able,Ultimate,Master,Able,Master,Able,Able,Master,Proficient,Able,Respected,Master,Proficient,Distinguished,Able,Respected,Renowned,Able,Legendary,Respected,Master,Able,2026-03-31,2026-03-31 17:59:19
Joeyjoe,https://emerald.puzzlepirates.com/yoweb/pirate.wm?classic=false&target=joeyjoe,http://emerald.puzzlepirates.com/media/emerald/portraits/021/7049f314b3f6fdc042721b426044a.jpg,Senior Officer,First Mate,Reign of Terror,Prince,Late Night Hoes,Lieutenant Commander,Admiral Island Navy,Gull,3,Killer Vessels on The Lowland Hundred | Cold Blooded on Alkaid Island | Bad Threads on Alkaid Island,1,Wits' End on Admiral Island,0,,8,Adobe Abode on Chachapoya Island | Pine Boxes on Aimuari Island | Munky Town on Alkaid Island | Only a Manor of Time on Aimuari Island | Bedside Manors on Admiral Island | Bedside Manors on Admiral Island | The Great Estate on Admiral Island | The Great Estate on Admiral Island,12,Bunnibun | Cheezz | Crazotiic | Flamingboat | Sheidheda | Shoyoroll | Skittlemiss | Uzed | Wagers | Xpac | Youngkdog | Zakilla,Aspiring,Aspiring,Aspiring,Aspiring,Crafting,Piracy,Piracy,Crafting,Piracy,Crafting,Carousing,Crafting,Piracy,Carousing,Piracy,Piracy,Carousing,Piracy,Piracy,Piracy,Crafting,Carousing,Piracy,Carousing,Piracy,Crafting,Neophyte,Solid,Paragon,Solid,Solid,Neophyte,Narrow,Solid,Weighty,Neophyte,Solid,Solid,Expert,Solid,Broad,Solid,Narrow,Neophyte,Solid,Broad,Solid,Novice,Able,Respected,Ultimate,Ultimate,Distinguished,Able,Able,Proficient,Master,Proficient,Proficient,Renowned,Legendary,Proficient,Able,Proficient,Able,Proficient,Proficient,Distinguished,Master,Able,2026-03-31,2026-03-31 17:59:19
Sheidheda,https://emerald.puzzlepirates.com/yoweb/pirate.wm?classic=false&target=sheidheda,http://emerald.puzzlepirates.com/media/emerald/portraits/d0b/31e20cf7cb647e0d3a5da9d4b1867.jpg,Captain,Treasurer,Reign of Terror,Prince,Late Night Hoes,Ensign,Admiral Island Navy,Gull,3,Bull Market on Admiral Island | Wits' End on Admiral Island | Hollywood Palace on Admiral Island,1,Mastodons on Arakoua Island,0,,5,Pine Boxes on Aimuari Island | The Great Estate on Admiral Island | Bedside Manors on Admiral Island | Guardians of the Gallery on Admiral Island | Whisking Whale Road on Arakoua Island,9,Anichi | Barrys | Bunnibun | Dexedrine | Joeyjoe | License | Outlander | Skittlemiss | Strategyy,Aspiring,Aspiring,Aspiring,Aspiring,Crafting,Piracy,Piracy,Crafting,Piracy,Crafting,Carousing,Crafting,Piracy,Carousing,Piracy,Piracy,Carousing,Piracy,Piracy,Piracy,Crafting,Carousing,Piracy,Carousing,Piracy,Crafting,Novice,Apprentice,Broad,Novice,Solid,Novice,Novice,Novice,Weighty,Novice,Weighty,Broad,Solid,Broad,Novice,Weighty,Novice,Novice,Broad,Novice,Broad,Novice,Able,Able,Proficient,Able,Grand-Master,Able,Proficient,Able,Legendary,Able,Able,Distinguished,Legendary,Proficient,Proficient,Proficient,Able,Able,Legendary,Able,Able,Able,2026-03-31,2026-03-31 17:59:19
Skittlemiss,https://emerald.puzzlepirates.com/yoweb/pirate.wm?classic=false&target=skittlemiss,http://emerald.puzzlepirates.com/media/emerald/portraits/f31/bd2aeb6ac76e010d536169d529857.jpg,Senior Officer,,Tilted,Princess,Late Night Hoes,Captain,Admiral Island Navy,Gull,2,Junk n Tonic on Ambush Island | Fortini on Ambush Island,4,Sailing Rent Free on Arakoua Island | Happy Little Masts on Bowditch Island | Fight The Power on Armstrong Island | Happy Little Frigs on Bowditch Island,0,,7,Caddyshack on Admiral Island | Stab In Cabin on Aimuari Island | Only a Manor of Time on Aimuari Island | Cottagious Disease on Aimuari Island | Jonestown Houses on Aimuari Island | Gallery of Gilgul on Sayers Rock | Whisking Whale Road on Arakoua Island,0,,Aspiring,Noted,Rumored,Aspiring,Crafting,Piracy,Piracy,Crafting,Piracy,Crafting,Carousing,Crafting,Piracy,Carousing,Piracy,Piracy,Carousing,Piracy,Piracy,Piracy,Crafting,Carousing,Piracy,Carousing,Piracy,Crafting,Weighty,Solid,Expert,Expert,Weighty,Apprentice,Broad,Broad,Solid,Narrow,Solid,Apprentice,Illustrious,Broad,Broad,Revered,Solid,Apprentice,Broad,Narrow,Solid,Neophyte,Proficient,Ultimate,Ultimate,Proficient,Renowned,Able,Proficient,Proficient,Master,Distinguished,Respected,Respected,Master,Distinguished,Respected,Ultimate,Able,Respected,Grand-Master,Proficient,Ultimate,Respected,2026-03-31,2026-03-31 17:59:19
Swizzo,https://emerald.puzzlepirates.com/yoweb/pirate.wm?classic=false&target=swizzo,http://emerald.puzzlepirates.com/media/emerald/portraits/d3d/dfd28afd02f9a2df4fab5c8a416fb.jpg,Senior Officer,First Mate,Tax Evasion,Prince,Late Night Hoes,Admiral,Admiral Island Navy,Gull,0,,0,,0,,10,Sea Shack on Scrimshaw Island | Sidekick Shacks on Barbary Island | Caddyshack on Admiral Island | Shack Macaque on Alkaid Island | What the Cabins on Bowditch Island | Bedside Manors on Admiral Island | Sea Shack on Scrimshaw Island | Stab In Cabin on Aimuari Island | Cottage Cove on Scrimshaw Island | Jonestown Houses on Aimuari Island,0,,Aspiring,Aspiring,Aspiring,Aspiring,Crafting,Piracy,Piracy,Crafting,Piracy,Crafting,Carousing,Crafting,Piracy,Carousing,Piracy,Piracy,Carousing,Piracy,Piracy,Piracy,Crafting,Carousing,Piracy,Carousing,Piracy,Crafting,Novice,Solid,Revered,Expert,Paragon,Neophyte,Apprentice,Weighty,Solid,Novice,Expert,Expert,Expert,Sublime,Narrow,Solid,Expert,Novice,Weighty,Apprentice,Weighty,Neophyte,Able,Legendary,Legendary,Ultimate,Grand-Master,Able,Grand-Master,Ultimate,Renowned,Able,Grand-Master,Ultimate,Distinguished,Ultimate,Master,Ultimate,Legendary,Able,Ultimate,Grand-Master,Legendary,Distinguished,2026-03-31,2026-03-31 17:59:19
Uzed,https://emerald.puzzlepirates.com/yoweb/pirate.wm?classic=false&target=uzed,http://emerald.puzzlepirates.com/media/emerald/portraits/e92/101aa92f4b940e49d46691bf23006.jpg,Senior Officer,,Tilted,Prince,Late Night Hoes,Lieutenant Commander,Admiral Island Navy,Gull,0,,7,Sailing Rent Free on Arakoua Island | Happy Little Masts on Bowditch Island | Guppy Yard on Caravanserai Island | The Mightiest Shipyard on Caravanserai Island | Happy Little Frigs on Bowditch Island | Mastodons on Arakoua Island | The Mighty Yard on Caravanserai Island,0,,3,Caddyshack on Admiral Island | The Cuckoo's Nest on Quetzal Island | Villa Las Vegas on Admiral Island,12,Barrys | Bronzy | Convictt | Dexedrine | Eleoss | Encode | Gummybears | Joeyjoe | Meld | Outlander | Pistacho | Skittlemiss,Aspiring,Noted,Noted,Aspiring,Crafting,Piracy,Piracy,Crafting,Piracy,Crafting,Carousing,Crafting,Piracy,Carousing,Piracy,Piracy,Carousing,Piracy,Piracy,Piracy,Crafting,Carousing,Piracy,Carousing,Piracy,Crafting,Narrow,Narrow,Solid,Novice,Weighty,Novice,Novice,Apprentice,Solid,Novice,Solid,Broad,Broad,Solid,Neophyte,Solid,Broad,Novice,Broad,Novice,Expert,Broad,Proficient,Distinguished,Distinguished,Able,Renowned,Able,Proficient,Grand-Master,Legendary,Able,Renowned,Respected,Proficient,Master,Proficient,Respected,Distinguished,Able,Grand-Master,Proficient,Respected,Renowned,2026-03-31,2026-03-31 17:59:19
Bea,https://emerald.puzzlepirates.com/yoweb/pirate.wm?classic=false&target=bea,,Senior Officer,,Tilted,Lady,Late Night Hoes,Chief Petty Officer,Admiral Island Navy,Gull,0,,3,Jurrasic Potions on Arakoua Island | Best Dressed In Town on Alkaid Island | Tyrumosaurus on Arakoua Island,0,,3,The Cuckoo's Nest on Quetzal Island | Guardians of the Gallery on Admiral Island | Bringing Town the House on Admiral Island,3,Phaeirie | Samblack | Skittlemiss,Aspiring,Aspiring,Aspiring,Aspiring,Crafting,Piracy,Piracy,Crafting,Piracy,Crafting,Carousing,Crafting,Piracy,Carousing,Piracy,Piracy,Carousing,Piracy,Piracy,Piracy,Crafting,Carousing,Piracy,Carousing,Piracy,Crafting,Apprentice,Solid,Solid,Narrow,Weighty,Solid,Novice,Narrow,Broad,Novice,Weighty,Solid,Novice,Narrow,Apprentice,Illustrious,Broad,Novice,Apprentice,Novice,Weighty,Neophyte,Able,Distinguished,Respected,Proficient,Respected,Distinguished,Able,Master,Distinguished,Able,Master,Master,Able,Proficient,Renowned,Legendary,Distinguished,Able,Legendary,Able,Proficient,Distinguished,2026-03-31,2026-03-31 17:59:19
Euphoria,https://emerald.puzzlepirates.com/yoweb/pirate.wm?classic=false&target=euphoria,http://emerald.puzzlepirates.com/media/emerald/portraits/04c/a20b775e26566417a76b2e435291a.jpg,Captain,,Pho Real,Queen,My Bad,Admiral,Admiral Island Navy,Gull,1,Threads of Culture on Admiral Island,4,Queef Balls on Armstrong Island | My Bad Balls on Bowditch Island | My Bad Masts on Admiral Island | My Bad Spice on Admiral Island,0,,13,Row Me Daddy on Admiral Island | The Great Estate on Admiral Island | The Dove Shack on Armstrong Island | Caddyshack on Admiral Island | Milkshack on Wensleydale | King Kottage on Admiral Island | Row Me Daddy on Admiral Island | Manor of Steel on Barbary Island | Villa Las Vegas on Admiral Island | Villa Las Vegas on Admiral Island | Villa of the Damned on Aimuari Island | The Great Estate on Admiral Island | Be Our Guest Gallery on Armstrong Island,0,,Aspiring,Aspiring,Celebrated,Aspiring,Crafting,Piracy,Piracy,Crafting,Piracy,Crafting,Carousing,Crafting,Piracy,Carousing,Piracy,Piracy,Carousing,Piracy,Piracy,Piracy,Crafting,Carousing,Piracy,Carousing,Piracy,Crafting,Solid,Narrow,Paragon,Solid,Illustrious,Solid,Novice,Broad,Illustrious,Narrow,Paragon,Novice,Illustrious,Paragon,Apprentice,Sublime,Solid,Neophyte,Narrow,Neophyte,Illustrious,Novice,Distinguished,Distinguished,Distinguished,Distinguished,Distinguished,Proficient,Proficient,Proficient,Master,Master,Respected,Able,Proficient,Grand-Master,Ultimate,Master,Proficient,Proficient,Ultimate,Respected,Proficient,Able,2026-03-31,2026-03-31 17:59:19
Aceyy,https://emerald.puzzlepirates.com/yoweb/pirate.wm?classic=false&target=aceyy,http://emerald.puzzlepirates.com/media/emerald/portraits/01d/e624702f958ab9d662e92ac6c15e8.jpg,Senior Officer,First Mate,Pho Real,Prince,My Bad,Commander,Admiral Island Navy,Gull,0,,7,Threads of Culture on Admiral Island | My Bad Spice on Bowditch Island | The longest ships on Sayers Rock | My Bad Balls on Bowditch Island | Suit & Tie on Caravanserai Island | My Bad Masts on Admiral Island | My Bad Spice on Admiral Island,2,Texann's Tailoring Stall on Admiral Island | Charters's Shipbuilding Stall on Hubble's Eye,40,Riemann Slums on Descartes Isle | Sidekick Shacks on Barbary Island | Sea Shack on Scrimshaw Island | Shack Macaque on Alkaid Island | Homestead Hut on Lincoln Island | The Dove Shack on Armstrong Island | Caddyshack on Admiral Island | Pine Boxes on Aimuari Island | Aural Shacks on Bowditch Island | Shack eel Oh Kneel on Blackthorpe Island | Sigil Shack on Sayers Rock | Jurassic Shack on Arakoua Island | Shacky Doo on Hubble's Eye | Love Shack on Caravanserai Island | The Cuckoo's Nest on Quetzal Island | Was A Marked Down Shack on Wissahickon Island | Milkshack on Wensleydale | Stab In Cabin on Aimuari Island | Cabin Fever on Admiral Island | Bungalow Bill on Admiral Island | King Kottage on Admiral Island | Villa Las Vegas on Admiral Island | Homestead Hut on Lincoln Island | Sea Shack on Scrimshaw Island | Minute House on Greenwich Island | Caddyshack on Admiral Island | Milkshack on Wensleydale | Cabin Fever on Admiral Island | Coral Cabins on Scrimshaw Island | Bunker Bungalow on Lincoln Island | Bungalow Bill on Admiral Island | Bungalow Bill on Admiral Island | Cottage Cove on Scrimshaw Island | Cottagious Disease on Aimuari Island | King Kottage on Admiral Island | Jonestown Houses on Aimuari Island | Only a Manor of Time on Aimuari Island | Villa Las Vegas on Admiral Island | Cthulhu Mansion on Admiral Island | The Great Estate on Admiral Island,2,Alayziah | Chickynuggy,Obscure,Established,Celebrated,Aspiring,Crafting,Piracy,Piracy,Crafting,Piracy,Crafting,Carousing,Crafting,Piracy,Carousing,Piracy,Piracy,Carousing,Piracy,Piracy,Piracy,Crafting,Carousing,Piracy,Carousing,Piracy,Crafting,Solid,Solid,Paragon,Weighty,Solid,Narrow,Narrow,Expert,Weighty,Broad,Solid,Weighty,Paragon,Solid,Narrow,Revered,Solid,Apprentice,Expert,Broad,Illustrious,Weighty,Distinguished,Distinguished,Legendary,Proficient,Legendary,Able,Able,Respected,Proficient,Master,Able,Grand-Master,Distinguished,Legendary,Master,Renowned,Proficient,Proficient,Ultimate,Proficient,Able,Grand-Master,2026-03-31,2026-03-31 17:59:19
Odds,https://emerald.puzzlepirates.com/yoweb/pirate.wm?classic=false&target=odds,http://emerald.puzzlepirates.com/media/emerald/portraits/897/932035107f020f924b266cf560ed0.jpg,Senior Officer,Quartermaster,Hold That,Prince,My Bad,Commander,Admiral Island Navy,Gull,4,My Bad Threads on Admiral Island | My Bad Balls on Bowditch Island | My Bad Masts on Admiral Island | My Bad Spice on Admiral Island,3,Queef Balls on Armstrong Island | My Bad Spice on Bowditch Island | Primative Potions on Alkaid Island,0,,11,Shack Macaque on Alkaid Island | Love Shack on Caravanserai Island | Was A Marked Down Shack on Wissahickon Island | Caddyshack on Admiral Island | Pine Boxes on Aimuari Island | King Kottage on Admiral Island | Row Me Daddy on Admiral Island | Cthulhu Mansion on Admiral Island | Milkshack on Wensleydale | Cabin Fever on Admiral Island | Gallery of Gilgul on Sayers Rock,13,Absolum | Aceyy | Disengaged | Euphoria | Flucinn | Izziecakes | Lengthy | Ruxo | Sincap | Straft | Toddler | Vanin | Yburr,Aspiring,Aspiring,Aspiring,Aspiring,Crafting,Piracy,Piracy,Crafting,Piracy,Crafting,Carousing,Crafting,Piracy,Carousing,Piracy,Piracy,Carousing,Piracy,Piracy,Piracy,Crafting,Carousing,Piracy,Carousing,Piracy,Crafting,Narrow,Solid,Expert,Solid,Expert,Narrow,Broad,Solid,Weighty,Revered,Illustrious,Solid,Illustrious,Expert,Novice,Solid,Paragon,Broad,Solid,Apprentice,Expert,Solid,Proficient,Legendary,Ultimate,Ultimate,Renowned,Able,Legendary,Legendary,Legendary,Ultimate,Legendary,Ultimate,Proficient,Ultimate,Renowned,Master,Legendary,Ultimate,Ultimate,Ultimate,Distinguished,Legendary,2026-03-31,2026-03-31 17:59:19
Sincap,https://emerald.puzzlepirates.com/yoweb/pirate.wm?classic=false&target=sincap,http://emerald.puzzlepirates.com/media/emerald/portraits/bfb/ba4cfca0282d5fac1c2d69783f5cc.jpg,Senior Officer,Drunk,Hold That,Prince,My Bad,Admiral,Admiral Island Navy,Gull,0,,7,My Bad Spice on Bowditch Island | My Bad Spice on Sayers Rock | I Have Big Balls on Barbary Island | My Bad Threads on Admiral Island | My Bad Balls on Bowditch Island | My Bad Masts on Admiral Island | My Bad Spice on Admiral Island,1,Bunnahabhain's Ironworking Stall on Arakoua Island,7,Pine Boxes on Aimuari Island | The Great Estate on Admiral Island | King Kottage on Admiral Island | Row Me Daddy on Admiral Island | Bedside Manors on Admiral Island | Villa of the Damned on Aimuari Island | Cthulhu Mansion on Admiral Island,14,Bertaa | Bluerain | Bunnahabhain | Disengaged | Euphoria | Flucinn | Katsan | Kccat | Odds | Ruxo | Tontis | Vanin | Yassenn | Yburr,Aspiring,Aspiring,Aspiring,Aspiring,Crafting,Piracy,Piracy,Crafting,Piracy,Crafting,Carousing,Crafting,Piracy,Carousing,Piracy,Piracy,Carousing,Piracy,Piracy,Piracy,Crafting,Carousing,Piracy,Carousing,Piracy,Crafting,Apprentice,Solid,Weighty,Expert,Weighty,Neophyte,Apprentice,Broad,Illustrious,Broad,Solid,Solid,Expert,Solid,Broad,Solid,Solid,Broad,Solid,Narrow,Expert,Novice,Able,Legendary,Proficient,Master,Proficient,Able,Proficient,Legendary,Respected,Master,Proficient,Renowned,Distinguished,Proficient,Master,Distinguished,Proficient,Master,Legendary,Proficient,Proficient,Able,2026-03-31,2026-03-31 17:59:19
Straft,https://emerald.puzzlepirates.com/yoweb/pirate.wm?classic=false&target=straft,http://emerald.puzzlepirates.com/media/emerald/portraits/860/ccd7aaf2d0354e8ec9219ea0e63c0.jpg,Senior Officer,Carpenter,Hold That,Prince,My Bad,Admiral,Aimuari Island Navy,Orion,0,,3,The Hempire Strikes Back on Sayers Rock | Pillaging Incorporated on Sayers Rock | Serial Pillaging on Armstrong Island,0,,6,The Dove Shack on Armstrong Island | Caddyshack on Admiral Island | The Cuckoo's Nest on Quetzal Island | Sidekick Shacks on Barbary Island | Bungallows on Aimuari Island | Villa of the Damned on Aimuari Island,8,Daftsadie | Helium | Senara | Sheownsme | Sirlimpsalot | Skinnyminnie | Troubledbob | Turtlefox,Aspiring,Aspiring,Aspiring,Aspiring,Crafting,Piracy,Piracy,Crafting,Piracy,Crafting,Carousing,Crafting,Piracy,Carousing,Piracy,Piracy,Carousing,Piracy,Piracy,Piracy,Crafting,Carousing,Piracy,Carousing,Piracy,Crafting,Solid,Expert,Illustrious,Solid,Expert,Solid,Narrow,Expert,Paragon,Broad,Illustrious,Solid,Expert,Paragon,Solid,Paragon,Expert,Broad,Weighty,Broad,Expert,Broad,Proficient,Distinguished,Legendary,Proficient,Grand-Master,Proficient,Distinguished,Legendary,Respected,Proficient,Grand-Master,Grand-Master,Distinguished,Ultimate,Grand-Master,Distinguished,Grand-Master,Respected,Grand-Master,Able,Grand-Master,Respected,2026-03-31,2026-03-31 17:59:19
