Pirate Name,Pirate URL,Portrait URL,Crew Rank,Crew Job,Crew Name,Flag Role,Flag Name,Navy Rank,Navy Name,Navy Archipelago,Owns Count,Owns List,Manages Count,Manages List,Stalls Count,Stalls List,Houses Count,Houses List,Hearties Count,Hearties List,Reputation Conqueror,Reputation Explorer,Reputation Magnate,Reputation Patron,Skill Category Alchemistry,Skill Category Battle Navigation,Skill Category Bilging,Skill Category Blacksmithing,Skill Category Carpentry,Skill Category Distilling,Skill Category Drinking,Skill Category Foraging,Skill Category Gunning,Skill Category Hearts,Skill Category Navigating,Skill Category Patching,Skill Category Poker,Skill Category Rigging,Skill Category Rumble,Skill Category Sailing,Skill Category Shipwrightery,Skill Category Spades,Skill Category Swordfighting,Skill Category Treasure Drop,Skill Category Treasure Haul,Skill Category Weaving,Skill Experience Alchemistry,Skill Experience Battle Navigation,Skill Experience Bilging,Skill Experience Blacksmithing,Skill Experience Carpentry,Skill Experience Distilling,Skill Experience Drinking,Skill Experience Foraging,Skill Experience Gunning,Skill Experience Hearts,Skill Experience Navigating,Skill Experience Patching,Skill Experience Poker,Skill Experience Rigging,Skill Experience Rumble,Skill Experience Sailing,Skill Experience Shipwrightery,Skill Experience Spades,Skill Experience Swordfighting,Skill Experience Treasure Drop,Skill Experience Treasure Haul,Skill Experience Weaving,Skill Reputation Alchemistry,Skill Reputation Battle Navigation,Skill Reputation Bilging,Skill Reputation Blacksmithing,Skill Reputation Carpentry,Skill Reputation Distilling,Skill Reputation Drinking,Skill Reputation Foraging,Skill Reputation Gunning,Skill Reputation Hearts,Skill Reputation Navigating,Skill Reputation Patching,Skill Reputation Poker,Skill Reputation Rigging,Skill Reputation Rumble,Skill Reputation Sailing,Skill Reputation Shipwrightery,Skill Reputation Spades,Skill Reputation Swordfighting,Skill Reputation Treasure Drop,Skill Reputation Treasure Haul,Skill Reputation Weaving
Graymouser,https://emerald.puzzlepirates.com/yoweb/pirate.wm?classic=false&target=graymouser,http://emerald.puzzlepirates.com/media/emerald/portraits/2ce/71dfee1b11a760da7f4d1b86bf9c0.jpg,Senior Officer,,Cheers,Lord,Ad Finem Maris,Lieutenant,Alkaid Island Navy,Ursa,0,,0,,0,,5,Caddyshack on Admiral Island | Sigil Shack on Sayers Rock | Past Tents on Greenwich Island | Just a Bungalow on Caravanserai Island | Liana Villa on Alkaid Island,0,,Aspiring,Aspiring,Rumored,Aspiring,Crafting,Piracy,Piracy,Crafting,Piracy,Crafting,Carousing,Crafting,Piracy,Carousing,Piracy,Piracy,Carousing,Piracy,Piracy,Piracy,Crafting,Carousing,Piracy,Carousing,Piracy,Crafting,Narrow,Paragon,Broad,Weighty,Weighty,Neophyte,Novice,Solid,Solid,Novice,Neophyte,Apprentice,Solid,Narrow,Apprentice,Expert,Solid,Novice,Narrow,Apprentice,Solid,Expert,Proficient,Master,Proficient,Master,Distinguished,Able,Distinguished,Master,Proficient,Able,Able,Proficient,Proficient,Able,Proficient,Renowned,Distinguished,Able,Proficient,Proficient,Distinguished,Legendary
Gusher,https://emerald.puzzlepirates.com/yoweb/pirate.wm?classic=false&target=gusher,http://emerald.puzzlepirates.com/media/emerald/portraits/dc7/fee0d7ab3bca586e60101075d47df.jpg,Senior Officer,First Mate,The Salty Splatoon,Member,Party On Olympus,Admiral,Admiral Island Navy,Gull,0,,0,,0,,4,Caddyshack on Admiral Island | Cabin Fever on Admiral Island | Bungalow Bill on Admiral Island | Keep Calm and Love King Kong on Alkaid Island,4,Crip | Jezerbell | Mattystrong | Rojavey,Aspiring,Aspiring,Aspiring,Aspiring,Crafting,Piracy,Piracy,Crafting,Piracy,Crafting,Carousing,Crafting,Piracy,Carousing,Piracy,Piracy,Carousing,Piracy,Piracy,Piracy,Crafting,Carousing,Piracy,Carousing,Piracy,Crafting,Narrow,Narrow,Revered,Narrow,Paragon,Novice,Narrow,Solid,Weighty,Expert,Paragon,Weighty,Solid,Illustrious,Narrow,Narrow,Expert,Solid,Solid,Narrow,Illustrious,Neophyte,Proficient,Distinguished,Legendary,Master,Grand-Master,Able,Respected,Ultimate,Distinguished,Distinguished,Legendary,Grand-Master,Proficient,Ultimate,Able,Proficient,Legendary,Proficient,Renowned,Able,Grand-Master,Proficient
Toastyboy,https://emerald.puzzlepirates.com/yoweb/pirate.wm?classic=false&target=toastyboy,http://emerald.puzzlepirates.com/media/emerald/portraits/b96/c1c65598aa8cab7f1107486772a36.jpg,Captain,Troublemaker,Keep Going,Prince,Ad Finem Maris,Captain,Admiral Island Navy,Gull,3,Toasty Tipple on Barbary Island | Toasty Tonics on Barbary Island | Toasty Balls on Barbary Island,4,Toasty Tassels on Barbary Island | Jade Industry on Armstrong Island | Frig It on Arakoua Island | Master Exploder on Barbary Island,6,Toastyboy's Tailoring Stall on Barbary Island | Toastyboy's Weaving Stall on Barbary Island | Toastyboy's Weaving Stall on Arakoua Island | Toastyboy's Ironworking Stall on Barbary Island | Whitesnakes's Apothecary Stall on Aimuari Island | Whitesnakes's Apothecary Stall on Admiral Island,6,Pine Boxes on Aimuari Island | Bedside Manors on Admiral Island | Bringing Town the House on Admiral Island | Bringing Town the House on Admiral Island | Bedside Manors on Admiral Island | Only a Manor of Time on Aimuari Island,0,,Renowned,Illustrious,Illustrious,Rumored,Crafting,Piracy,Piracy,Crafting,Piracy,Crafting,Carousing,Crafting,Piracy,Carousing,Piracy,Piracy,Carousing,Piracy,Piracy,Piracy,Crafting,Carousing,Piracy,Carousing,Piracy,Crafting,Weighty,Weighty,Sublime,Solid,Paragon,Solid,Apprentice,Solid,Expert,Neophyte,Paragon,Expert,Weighty,Illustrious,Broad,Weighty,Solid,Narrow,Solid,Narrow,Sublime,Broad,Renowned,Respected,Ultimate,Renowned,Master,Proficient,Able,Ultimate,Proficient,Able,Legendary,Grand-Master,Grand-Master,Renowned,Respected,Renowned,Distinguished,Able,Grand-Master,Distinguished,Distinguished,Master
Ulygold,https://emerald.puzzlepirates.com/yoweb/pirate.wm?classic=false&target=ulygold,http://emerald.puzzlepirates.com/media/emerald/portraits/25f/ad56761afd6c258ee9ad609592b1a.jpg,Senior Officer,Troublemaker,Bomb It Like It's Hot,Prince,Bombaholics Anonymous,Lieutenant,Admiral Island Navy,Gull,3,Snoop Forge on Armstrong Island | Big Beautiful Ball on Sayers Rock | Unstable Concoction on Sayers Rock,4,The Way You Make Me Steel on Caravanserai Island | Cursed Cauldron on Alkaid Island | Pimps N Potions on Arakoua Island | Weaving in Traffic on Sayers Rock,1,Lozenger's Apothecary Stall on Chachapoya Island,11,Aural Shacks on Bowditch Island | Caddyshack on Admiral Island | Bungalow Bill on Admiral Island | Villa of the Damned on Aimuari Island | Got Your Girlfriend on Sayers Rock | Guardians of the Gallery on Admiral Island | Mirror Mirror Hanging On The Wall on Sayers Rock | Krypton Kottage on Barbary Island | Sherlock Homes on Doyle Island | Bedside Manors on Admiral Island | Tortilla Villas on Chachapoya Island,0,,Aspiring,Renowned,Illustrious,Aspiring,Crafting,Piracy,Piracy,Crafting,Piracy,Crafting,Carousing,Crafting,Piracy,Carousing,Piracy,Piracy,Carousing,Piracy,Piracy,Piracy,Crafting,Carousing,Piracy,Carousing,Piracy,Crafting,Solid,Expert,Paragon,Solid,Paragon,Neophyte,Neophyte,Solid,Weighty,Novice,Solid,Solid,Broad,Illustrious,Narrow,Weighty,Solid,Apprentice,Solid,Neophyte,Illustrious,Solid,Distinguished,Distinguished,Renowned,Renowned,Respected,Proficient,Proficient,Respected,Distinguished,Able,Proficient,Renowned,Master,Ultimate,Master,Respected,Respected,Able,Proficient,Able,Distinguished,Master
Xanorth,https://emerald.puzzlepirates.com/yoweb/pirate.wm?classic=false&target=xanorth,http://emerald.puzzlepirates.com/media/emerald/portraits/3cd/d3078adba9fb28997f49a65e6b401.jpg,Captain,Wildcard,Chaotic Disposition,,,Lieutenant Commander,Aimuari Island Navy,Orion,0,,0,,0,,3,Minute House on Greenwich Island | Cabin Fever on Admiral Island | Villa of the Damned on Aimuari Island,0,,Aspiring,Aspiring,Noted,Aspiring,Crafting,Piracy,Piracy,Crafting,Piracy,Crafting,Carousing,Crafting,Piracy,Carousing,Piracy,Piracy,Carousing,Piracy,Piracy,Piracy,Crafting,Carousing,Piracy,Carousing,Piracy,Crafting,Apprentice,Solid,Solid,Narrow,Illustrious,Apprentice,Novice,Solid,Solid,Novice,Solid,Narrow,Solid,Solid,Apprentice,Narrow,Weighty,Novice,Narrow,Neophyte,Expert,Neophyte,Proficient,Respected,Respected,Proficient,Grand-Master,Able,Respected,Grand-Master,Distinguished,Able,Proficient,Proficient,Respected,Proficient,Respected,Proficient,Master,Able,Grand-Master,Respected,Master,Distinguished
Dalnoth,https://emerald.puzzlepirates.com/yoweb/pirate.wm?classic=false&target=Dalnoth,http://emerald.puzzlepirates.com/media/emerald/portraits/e60/2dbf4ce83bcb39d477b6788cff64b.jpg,Captain,,Keyboard Warrior,King,Don't Open Till Doomsday,Commander,Admiral Island Navy,Gull,4,Warship's Eulogy on Aimuari Island | Bar With No Name on Barbary Island | Blackjack Betty on Armstrong Island | Bring Out Your Thread on Aimuari Island,12,Gun Clappers on Barbary Island | Rhesus Pieces on Alkaid Island | Cool Ocean Shipyard on Arakoua Island | National Paint's on Admiral Island | How Tee Vest Waz Won on Admiral Island | King's Iron on Admiral Island | Dr Doom's Dyes on Barbary Island | Old Shipyard on Admiral Island | Gucci Gang on Admiral Island | Sink Factory on Admiral Island | A Stitch In Time on Aimuari Island | Cannonballs Do Migrate on Bowditch Island,0,,16,The Cuckoo's Nest on Quetzal Island | Cottagious Disease on Aimuari Island | King Kottage on Admiral Island | Eazy Street on Armstrong Island | The Cuckoo's Nest on Quetzal Island | Death Row on Aimuari Island | Row Me Daddy on Admiral Island | Mayfair Mansions on Pukru Island | Mayfair Mansions on Pukru Island | Only a Manor of Time on Aimuari Island | Villa of the Damned on Aimuari Island | Makavilli on Armstrong Island | Villa Las Vegas on Admiral Island | Cthulhu Mansion on Admiral Island | The Great Estate on Admiral Island | Guardians of the Gallery on Admiral Island,0,,Noted,Established,Celebrated,Aspiring,Crafting,Piracy,Piracy,Crafting,Piracy,Crafting,Carousing,Crafting,Piracy,Carousing,Piracy,Piracy,Carousing,Piracy,Piracy,Piracy,Crafting,Carousing,Piracy,Carousing,Piracy,Crafting,Narrow,Expert,Revered,Broad,Paragon,Narrow,Solid,Narrow,Expert,Solid,Illustrious,Neophyte,Sublime,Broad,Paragon,Illustrious,Weighty,Solid,Revered,Broad,Weighty,Neophyte,Proficient,Grand-Master,Grand-Master,Distinguished,Ultimate,Proficient,Master,Distinguished,Legendary,Proficient,Grand-Master,Proficient,Distinguished,Distinguished,Ultimate,Master,Renowned,Proficient,Ultimate,Respected,Ultimate,Able
Codefish,https://emerald.puzzlepirates.com/yoweb/pirate.wm?classic=false&target=codefish,http://emerald.puzzlepirates.com/media/emerald/portraits/403/9310083f9632cc71c5bad6cd583ae.jpg,Captain,,Silver Storm,Princess,Don't Open Till Doomsday,Admiral,Sayers Rock Navy,Ursa,2,Cool Ocean Shipyard on Arakoua Island | Wicked Stitch of the Vest on Sayers Rock,9,National Paint's on Admiral Island | King's Iron on Admiral Island | Old Shipyard on Admiral Island | The Night Tables on Admiral Island | Living Death on Aimuari Island | Sink Factory on Admiral Island | All Dyes On You on Admiral Island | Unicorn Blood on Aimuari Island | Basilisk's Fang on Aimuari Island,0,,28,Jurassic Shack on Arakoua Island | Pine Boxes on Aimuari Island | Shacky Doo on Hubble's Eye | Sigil Shack on Sayers Rock | Sidekick Shacks on Barbary Island | Caddyshack on Admiral Island | The Cuckoo's Nest on Quetzal Island | The Dove Shack on Armstrong Island | Homestead Hut on Lincoln Island | Love Shack on Caravanserai Island | Stab In Cabin on Aimuari Island | King Kottage on Admiral Island | Row Me Daddy on Admiral Island | Jonestown Houses on Aimuari Island | A Jacuzzi on Sayers Rock | The Great Estate on Admiral Island | Pine Boxes on Aimuari Island | Cottagious Disease on Aimuari Island | King Kottage on Admiral Island | Bringing Town the House on Admiral Island | Chatham Manor on Lincoln Island | Bedside Manors on Admiral Island | Bedside Manors on Admiral Island | Only a Manor of Time on Aimuari Island | Villa Las Vegas on Admiral Island | Dead Mansion Walking on Aimuari Island | Cthulhu Mansion on Admiral Island | Guardians of the Gallery on Admiral Island,0,,Aspiring,Established,Obscure,Aspiring,Crafting,Piracy,Piracy,Crafting,Piracy,Crafting,Carousing,Crafting,Piracy,Carousing,Piracy,Piracy,Carousing,Piracy,Piracy,Piracy,Crafting,Carousing,Piracy,Carousing,Piracy,Crafting,Illustrious,Illustrious,Revered,Weighty,Illustrious,Expert,Narrow,Sublime,Illustrious,Solid,Revered,Illustrious,Paragon,Expert,Solid,Exalted,Illustrious,Solid,Solid,Broad,Illustrious,Expert,Master,Respected,Proficient,Respected,Able,Proficient,Able,Respected,Able,Proficient,Able,Proficient,Grand-Master,Able,Proficient,Distinguished,Distinguished,Proficient,Able,Able,Distinguished,Master
Drinkkoolaid,https://emerald.puzzlepirates.com/yoweb/pirate.wm?classic=false&target=drinkkoolaid,,Senior Officer,,- Virtute et Armis -,Princess,Don't Open Till Doomsday,Stowaway,Admiral Island Navy,Gull,0,,0,,0,,4,Caddyshack on Admiral Island | The Dove Shack on Armstrong Island | Bungalow Bill on Admiral Island | Bungalow Bill on Admiral Island,1,Bungeegum,Aspiring,Aspiring,Aspiring,Aspiring,Crafting,Piracy,Piracy,Crafting,Piracy,Crafting,Carousing,Crafting,Piracy,Carousing,Piracy,Piracy,Carousing,Piracy,Piracy,Piracy,Crafting,Carousing,Piracy,Carousing,Piracy,Crafting,Novice,Narrow,Apprentice,Novice,Broad,Novice,Novice,Novice,Novice,Novice,Narrow,Novice,Weighty,Novice,Novice,Apprentice,Novice,Illustrious,Weighty,Novice,Broad,Novice,Able,Able,Able,Able,Proficient,Able,Able,Able,Able,Able,Able,Able,Respected,Able,Able,Able,Able,Grand-Master,Master,Proficient,Distinguished,Able
Imgonnanut,https://emerald.puzzlepirates.com/yoweb/pirate.wm?classic=false&target=imgonnanut,,Senior Officer,,Keyboard Warrior,Member,Don't Open Till Doomsday,Sailor,Sayers Rock Navy,Ursa,0,,0,,0,,1,Milkshack on Wensleydale,1,Yburr,Aspiring,Aspiring,Rumored,Aspiring,Crafting,Piracy,Piracy,Crafting,Piracy,Crafting,Carousing,Crafting,Piracy,Carousing,Piracy,Piracy,Carousing,Piracy,Piracy,Piracy,Crafting,Carousing,Piracy,Carousing,Piracy,Crafting,Novice,Solid,Apprentice,Novice,Broad,Novice,Novice,Apprentice,Narrow,Novice,Neophyte,Novice,Weighty,Novice,Novice,Broad,Narrow,Novice,Narrow,Novice,Novice,Novice,Able,Proficient,Proficient,Able,Legendary,Able,Proficient,Grand-Master,Legendary,Able,Able,Able,Able,Able,Proficient,Ultimate,Master,Able,Respected,Proficient,Proficient,Able
Misstrix,https://emerald.puzzlepirates.com/yoweb/pirate.wm?classic=false&target=misstrix,http://emerald.puzzlepirates.com/media/emerald/portraits/b68/f32304379ad7e03de08779aa88acb.jpg,Senior Officer,,Keyboard Warrior,Member,Don't Open Till Doomsday,Stowaway,Admiral Island Navy,Gull,0,,0,,0,,1,Aural Shacks on Bowditch Island,0,,Aspiring,Aspiring,Aspiring,Aspiring,Crafting,Piracy,Piracy,Crafting,Piracy,Crafting,Carousing,Crafting,Piracy,Carousing,Piracy,Piracy,Carousing,Piracy,Piracy,Piracy,Crafting,Carousing,Piracy,Carousing,Piracy,Crafting,Neophyte,Broad,Weighty,Novice,Novice,Novice,Novice,Solid,Apprentice,Novice,Solid,Solid,Neophyte,Neophyte,Novice,Solid,Broad,Novice,Novice,Novice,Neophyte,Novice,Able,Renowned,Proficient,Able,Able,Able,Able,Distinguished,Proficient,Able,Proficient,Proficient,Able,Able,Proficient,Distinguished,Proficient,Able,Proficient,Able,Proficient,Able
Sscc,https://emerald.puzzlepirates.com/yoweb/pirate.wm?classic=false&target=sscc,http://emerald.puzzlepirates.com/media/emerald/portraits/738/21996baf4aa953f73fa7410cff047.jpg,Senior Officer,,Keyboard Warrior,Prince,Don't Open Till Doomsday,Lieutenant Commander,Admiral Island Navy,Gull,7,King's Iron on Admiral Island | Old Shipyard on Admiral Island | Gucci Gang on Admiral Island | National Paint's on Admiral Island | Sink Factory on Admiral Island | All Dyes On You on Admiral Island | King's Chair on Admiral Island,4,The Night Tables on Admiral Island | Cool Ocean Shipyard on Arakoua Island | Warship's Eulogy on Aimuari Island | Blackjack Betty on Armstrong Island,0,,11,Sea Shack on Scrimshaw Island | Caddyshack on Admiral Island | Love Shack on Caravanserai Island | Bungalow Bill on Admiral Island | King Kottage on Admiral Island | Row Me Daddy on Admiral Island | Caddyshack on Admiral Island | Bungalow Bill on Admiral Island | Row Me Daddy on Admiral Island | Villa Las Vegas on Admiral Island | The Great Estate on Admiral Island,28,Aazy | Bobswald | Cairna | Carpaccio | Daeris | Dalnoth | Eyad | Hesperus | Icefiredad | Incineration | Joshsivils | Kingofthewar | Liud | Mahsa | Mahta | Mfw | Muli | Pasteyman | Ractor | Shadowiie | Shar | Shroomy | Sidero | Tempix | Texnikos | Tswifty | Tzz | Wowriver,Aspiring,Aspiring,Eminent,Aspiring,Crafting,Piracy,Piracy,Crafting,Piracy,Crafting,Carousing,Crafting,Piracy,Carousing,Piracy,Piracy,Carousing,Piracy,Piracy,Piracy,Crafting,Carousing,Piracy,Carousing,Piracy,Crafting,Narrow,Solid,Solid,Apprentice,Paragon,Solid,Narrow,Narrow,Solid,Novice,Solid,Broad,Illustrious,Weighty,Neophyte,Solid,Narrow,Narrow,Expert,Neophyte,Solid,Solid,Proficient,Ultimate,Respected,Able,Distinguished,Able,Master,Able,Distinguished,Able,Distinguished,Distinguished,Ultimate,Respected,Master,Distinguished,Able,Able,Renowned,Proficient,Master,Master
Robinhoodx,https://emerald.puzzlepirates.com/yoweb/pirate.wm?classic=false&target=robinhoodx,http://emerald.puzzlepirates.com/media/emerald/portraits/12b/d77d112d0e68939997449e440fc8f.jpg,Senior Officer,,Thank You Next,King,Pull Out,Lieutenant Commander,Admiral Island Navy,Gull,5,So Frigging Low on Sayers Rock | Iron Calcium on Scrimshaw Island | Reef Reelators on Scrimshaw Island | Trap House on Scrimshaw Island | Trade Winds on Scrimshaw Island,6,Frigged up on Iocane Island | Rent Free Graveyards on Aimuari Island | Kitty City on Iocane Island | Ships For Days on Aimuari Island | Dawn of the Deed on Aimuari Island | Loaded Balls on Sayers Rock,3,Robinhoodx's Apothecary Stall on Scrimshaw Island | Robinhoodx's Apothecary Stall on Admiral Island | Robinaltx's Apothecary Stall on Admiral Island,7,The Dove Shack on Armstrong Island | Stab In Cabin on Aimuari Island | Cabin Fever on Admiral Island | Bungalow Bill on Admiral Island | Caddyshack on Admiral Island | Bringing Town the House on Admiral Island | The Great Estate on Admiral Island,0,,Aspiring,Celebrated,Renowned,Aspiring,Crafting,Piracy,Piracy,Crafting,Piracy,Crafting,Carousing,Crafting,Piracy,Carousing,Piracy,Piracy,Carousing,Piracy,Piracy,Piracy,Crafting,Carousing,Piracy,Carousing,Piracy,Crafting,Solid,Weighty,Broad,Apprentice,Solid,Novice,Narrow,Solid,Broad,Illustrious,Narrow,Apprentice,Revered,Solid,Apprentice,Paragon,Weighty,Expert,Expert,Weighty,Solid,Neophyte,Respected,Ultimate,Distinguished,Able,Master,Able,Able,Proficient,Grand-Master,Distinguished,Able,Distinguished,Ultimate,Master,Able,Master,Respected,Distinguished,Ultimate,Master,Proficient,Proficient
Bobswald,https://emerald.puzzlepirates.com/yoweb/pirate.wm?classic=false&target=bobswald,http://emerald.puzzlepirates.com/media/emerald/portraits/4cc/ed9584d3dfe5b0c1e4770abac50b7.jpg,Senior Officer,,Atlantean Explorers,Prince,Pull Out,Apprentice Sailor,Admiral Island Navy,Gull,0,,1,Labyrinth on Caravanserai Island,0,,2,Caddyshack on Admiral Island | Bringing Town the House on Admiral Island,8,Anchovia | Cairna | Dagnanlian | Iwnabeu | Joshsivils | Ltrekess | Sscc | Yassenn,Aspiring,Aspiring,Aspiring,Aspiring,Crafting,Piracy,Piracy,Crafting,Piracy,Crafting,Carousing,Crafting,Piracy,Carousing,Piracy,Piracy,Carousing,Piracy,Piracy,Piracy,Crafting,Carousing,Piracy,Carousing,Piracy,Crafting,Neophyte,Narrow,Broad,Novice,Weighty,Apprentice,Novice,Novice,Narrow,Narrow,Solid,Novice,Solid,Narrow,Novice,Solid,Novice,Apprentice,Solid,Novice,Apprentice,Novice,Proficient,Master,Master,Able,Grand-Master,Distinguished,Able,Able,Proficient,Proficient,Master,Able,Grand-Master,Master,Proficient,Grand-Master,Able,Able,Respected,Proficient,Respected,Able
Cencul,https://emerald.puzzlepirates.com/yoweb/pirate.wm?classic=false&target=cencul,http://emerald.puzzlepirates.com/media/emerald/portraits/d61/c8fb688b128907e81a951fcff2cb0.jpg,Captain,,Forward,Prince,Pull Out,Lieutenant,Admiral Island Navy,Gull,0,,2,The Boys on Admiral Island | Trap House on Admiral Island,1,Xii's Tailoring Stall on Pukru Island,3,Cabin Fever on Admiral Island | Bungalow Bill on Admiral Island | The Great Estate on Admiral Island,1,Xii,Aspiring,Aspiring,Aspiring,Aspiring,Crafting,Piracy,Piracy,Crafting,Piracy,Crafting,Carousing,Crafting,Piracy,Carousing,Piracy,Piracy,Carousing,Piracy,Piracy,Piracy,Crafting,Carousing,Piracy,Carousing,Piracy,Crafting,Weighty,Solid,Solid,Solid,Solid,Weighty,Broad,Narrow,Broad,Solid,Weighty,Weighty,Transcendent,Solid,Broad,Solid,Solid,Broad,Solid,Broad,Solid,Solid,Ultimate,Ultimate,Ultimate,Ultimate,Ultimate,Legendary,Ultimate,Ultimate,Legendary,Proficient,Ultimate,Ultimate,Ultimate,Ultimate,Ultimate,Ultimate,Legendary,Ultimate,Ultimate,Ultimate,Ultimate,Ultimate
Discriminate,https://emerald.puzzlepirates.com/yoweb/pirate.wm?classic=false&target=discriminate,http://emerald.puzzlepirates.com/media/emerald/portraits/2eb/da280e2d7a2480453d650673a37cd.jpg,Senior Officer,Ambassador,Thank You Next,Prince,Pull Out,Lieutenant,Admiral Island Navy,Gull,1,Ships For Days on Aimuari Island,7,Rent Free Graveyards on Aimuari Island | So Frigging Low on Sayers Rock | King's Landing on Wissahickon Island | The Boys on Admiral Island | Dawn of the Deed on Aimuari Island | Trap House on Admiral Island | Bronx Zoo on Paihia Island,3,Robinhoodx's Apothecary Stall on Admiral Island | Robinhoodx's Apothecary Stall on Scrimshaw Island | Robinaltx's Apothecary Stall on Admiral Island,17,Pine Boxes on Aimuari Island | Shack Macaque on Alkaid Island | Caddyshack on Admiral Island | Milkshack on Wensleydale | Homestead Hut on Lincoln Island | Shack eel Oh Kneel on Blackthorpe Island | Cabin Fever on Admiral Island | Bringing Town the House on Admiral Island | Bedside Manors on Admiral Island | Love Shack on Caravanserai Island | The Cuckoo's Nest on Quetzal Island | Cabin Fever on Admiral Island | Bungalow Bill on Admiral Island | Row Me Daddy on Admiral Island | Bringing Town the House on Admiral Island | Bringing Town the House on Admiral Island | Villa Las Vegas on Admiral Island,0,,Aspiring,Eminent,Illustrious,Aspiring,Crafting,Piracy,Piracy,Crafting,Piracy,Crafting,Carousing,Crafting,Piracy,Carousing,Piracy,Piracy,Carousing,Piracy,Piracy,Piracy,Crafting,Carousing,Piracy,Carousing,Piracy,Crafting,Apprentice,Solid,Expert,Narrow,Solid,Novice,Novice,Solid,Solid,Expert,Solid,Solid,Sublime,Narrow,Neophyte,Weighty,Solid,Novice,Weighty,Neophyte,Solid,Neophyte,Proficient,Grand-Master,Grand-Master,Distinguished,Proficient,Able,Proficient,Distinguished,Distinguished,Respected,Proficient,Distinguished,Ultimate,Able,Able,Distinguished,Proficient,Able,Master,Proficient,Distinguished,Distinguished
Joshsivils,https://emerald.puzzlepirates.com/yoweb/pirate.wm?classic=false&target=joshsivils,http://emerald.puzzlepirates.com/media/emerald/portraits/c0a/e7aef844953cab85421729b820c99.jpg,Captain,Explorer,Atlantean Explorers,Prince,Pull Out,Commander,Admiral Island Navy,Gull,6,Peat Oak on Isle of Kent | Kentucky Palace on Isle of Kent | Budding Traders on Isle of Kent | King's Landing on Wissahickon Island | Castle Black on Wissahickon Island | House of the Undying on Wissahickon Island,1,Pirates Pantaloons on Scrimshaw Island,0,,4,Caddyshack on Admiral Island | Sigil Shack on Sayers Rock | Caddyshack on Admiral Island | Villa Las Vegas on Admiral Island,21,Accoutre | Aeri | Amaliie | Anchovia | Bobswald | Cairna | Caitman | Captnpugwash | Caramaria | Dagnanlian | Daquan | Flourish | Hellacious | Jevons | Kikkit | Kingtomy | Ltrekess | Maeven | Seepnah | Sscc | Yassenn,Aspiring,Celebrated,Eminent,Aspiring,Crafting,Piracy,Piracy,Crafting,Piracy,Crafting,Carousing,Crafting,Piracy,Carousing,Piracy,Piracy,Carousing,Piracy,Piracy,Piracy,Crafting,Carousing,Piracy,Carousing,Piracy,Crafting,Solid,Expert,Sublime,Broad,Illustrious,Narrow,Solid,Solid,Paragon,Weighty,Weighty,Novice,Sublime,Expert,Solid,Expert,Weighty,Solid,Illustrious,Solid,Paragon,Narrow,Distinguished,Ultimate,Renowned,Proficient,Ultimate,Proficient,Master,Master,Grand-Master,Distinguished,Ultimate,Able,Distinguished,Ultimate,Legendary,Ultimate,Master,Proficient,Legendary,Respected,Ultimate,Respected
Kushlorde,https://emerald.puzzlepirates.com/yoweb/pirate.wm?classic=false&target=kushlorde,http://emerald.puzzlepirates.com/media/emerald/portraits/b05/879af91dfbab45c2c0e6ba2374f8f.jpg,Senior Officer,,Forward,Princess,Pull Out,Commander,Admiral Island Navy,Gull,3,Trap House on Admiral Island | Off Pace Weaving on Alkaid Island | Bronx Zoo on Paihia Island,3,Backwoods on Paihia Island | The Boys on Admiral Island | My Face When on Caravanserai Island,5,Kushlorde's Weaving Stall on Scrimshaw Island | Kushlorde's Apothecary Stall on Scrimshaw Island | Kyubi's Tailoring Stall on Admiral Island | Twitcher's Tailoring Stall on Aimuari Island | Cazix's Tailoring Stall on Wensleydale,26,The Cuckoo's Nest on Quetzal Island | Shack eel Oh Kneel on Blackthorpe Island | Caddyshack on Admiral Island | King Kottage on Admiral Island | Row Me Daddy on Admiral Island | Villa Las Vegas on Admiral Island | Sea Shack on Scrimshaw Island | Sea Shack on Scrimshaw Island | Minute House on Greenwich Island | Sigil Shack on Sayers Rock | Caddyshack on Admiral Island | Caddyshack on Admiral Island | Caddyshack on Admiral Island | Caddyshack on Admiral Island | Caddyshack on Admiral Island | Milkshack on Wensleydale | Bungalow Bill on Admiral Island | King Kottage on Admiral Island | King Kottage on Admiral Island | Mayfair Mansions on Pukru Island | Jonestown Houses on Aimuari Island | Bedside Manors on Admiral Island | Villa of the Damned on Aimuari Island | Villa Las Vegas on Admiral Island | Villa Las Vegas on Admiral Island | Poseidon's Castle on Scrimshaw Island,1,Ihaveabigd,Noted,Eminent,Celebrated,Aspiring,Crafting,Piracy,Piracy,Crafting,Piracy,Crafting,Carousing,Crafting,Piracy,Carousing,Piracy,Piracy,Carousing,Piracy,Piracy,Piracy,Crafting,Carousing,Piracy,Carousing,Piracy,Crafting,Weighty,Solid,Revered,Solid,Expert,Novice,Narrow,Expert,Weighty,Apprentice,Illustrious,Expert,Expert,Exalted,Narrow,Weighty,Broad,Novice,Solid,Narrow,Exalted,Weighty,Respected,Proficient,Respected,Distinguished,Master,Able,Able,Renowned,Able,Able,Legendary,Master,Legendary,Legendary,Able,Able,Proficient,Able,Proficient,Able,Respected,Respected
